patent_id,inventor_id,disambig_inventor_name_first,location_id
7702337,fl:ka_ln:virtanen-3,Kari,375d0e0e-16c8-11ed-9b5f-1234bde3cd05
D544888,fl:mi_ln:mursch-1,Michael,11bbbf99-16c8-11ed-9b5f-1234bde3cd05
4623263,0004z0eq002iqz3t9ecx7l5ml,Paul,462fc724-16c8-11ed-9b5f-1234bde3cd05
9819994,fl:aj_ln:luthra-1,Ajay,1893009c-16c8-11ed-9b5f-1234bde3cd05
10323583,fl:ch_ln:vigild-1,Christian Winge,2c12fed5-16c8-11ed-9b5f-1234bde3cd05
11574318,fl:jo_ln:edwards-71,Joshua,8a6e68e9-16c8-11ed-9b5f-1234bde3cd05
10999938,fl:th_ln:tellinghuisen-1,Thomas J.,0bf15bf8-16c8-11ed-9b5f-1234bde3cd05
11514766,fl:ro_ln:colwill-2,Robert Jerome,b4931b33-16c7-11ed-9b5f-1234bde3cd05
6218584,fl:ri_ln:holub-1,Richard A.,de2cad5e-16c7-11ed-9b5f-1234bde3cd05
12306814,fl:st_ln:stewart-18,Stephen,bab1d2db-16c7-11ed-9b5f-1234bde3cd05
9177503,fl:sc_ln:myers-6,Scott A.,4affd925-16c8-11ed-9b5f-1234bde3cd05
D552974,fl:bj_ln:gunderson-2,Bjorn,e1c05366-16c7-11ed-9b5f-1234bde3cd05
11772379,fl:hi_ln:kozai-2,Hiroaki,a13ecd64-16c8-11ed-9b5f-1234bde3cd05
7131780,fl:st_ln:hirsch-3,Steven B.,01f0b029-16c8-11ed-9b5f-1234bde3cd05
6163031,fl:ma_ln:abdelrahman-2,Mahmoud F.,fdebb7fd-16c7-11ed-9b5f-1234bde3cd05
12207663,fl:ye_ln:wu-78,Yejun,3ada708f-16c8-11ed-9b5f-1234bde3cd05
9248238,fl:cy_ln:shovary-1,Cynthia Ann,f27a6544-16c7-11ed-9b5f-1234bde3cd05
11494246,fl:jo_ln:ellenberger-2,Jonathan,08415320-16c8-11ed-9b5f-1234bde3cd05
10542585,fl:pr_ln:fick-1,Preston,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
9747218,fl:ja_ln:schukat-1,Jan,3127bc40-16c8-11ed-9b5f-1234bde3cd05
6706738,fl:ne_ln:harris-4,Neil Victor,4e23d4bf-16c8-11ed-9b5f-1234bde3cd05
6218041,fl:fa_ln:barbier-1,Fabrice,44dc3b3e-16c8-11ed-9b5f-1234bde3cd05
5449698,fl:na_ln:kumagai-1,Naoyuki,8bf22d3c-16c8-11ed-9b5f-1234bde3cd05
9939993,fl:da_ln:garrett-17,Danny,e7f3d823-16c7-11ed-9b5f-1234bde3cd05
12050012,fl:an_ln:schulz-5,Anatol,673d6339-16c8-11ed-9b5f-1234bde3cd05
11994655,fl:xu_ln:bian-8,Xuqi,843f4caa-49af-11ed-9879-1234bde3cd05
10399851,fl:wa_ln:chen-45,Wan-Chun,90e8d862-16c8-11ed-9b5f-1234bde3cd05
D967187,fl:ca_ln:zimmerman-4,Carey W.,e45b4449-16c7-11ed-9b5f-1234bde3cd05
11585320,fl:ja_ln:cassoli-2,Jair,2d1f78b7-16c8-11ed-9b5f-1234bde3cd05
10457690,fl:ke_ln:belyk-1,Kevin M.,0738232f-16c8-11ed-9b5f-1234bde3cd05
10134082,fl:ro_ln:benkar-1,Rohan,13f05eea-16c8-11ed-9b5f-1234bde3cd05
D869785,fl:jo_ln:sporn-2,Joseph S.,92237ca2-16c8-11ed-9b5f-1234bde3cd05
5478623,fl:ta_ln:chuman-2,Takashi,a4210146-16c8-11ed-9b5f-1234bde3cd05
4888086,fl:je_ln:powers-14,Jeffrey E.,b4931b33-16c7-11ed-9b5f-1234bde3cd05
7882729,fl:ke_ln:thompson-24,Kenneth O.,f2bf624d-16c7-11ed-9b5f-1234bde3cd05
4391419,fl:sh_ln:iwama-7,Shinichi,12f69416-16c8-11ed-9b5f-1234bde3cd05
D824799,fl:em_ln:sallard-1,Emmanuelle,173808ad-16c8-11ed-9b5f-1234bde3cd05
10058892,fl:se_ln:taffler-1,Sean,17f7f348-16c8-11ed-9b5f-1234bde3cd05
8424071,fl:ma_ln:awad-4,Mariette,0cbabf40-16c8-11ed-9b5f-1234bde3cd05
8948801,fl:je_ln:schmidt-12,Jeffrey C.,aa1acfad-16c8-11ed-9b5f-1234bde3cd05
11977711,fl:cr_ln:noeldner-1,Craig Andrew,5836da24-16c8-11ed-9b5f-1234bde3cd05
6116259,fl:er_ln:berger-4,Eric L.,1d3eb522-16c8-11ed-9b5f-1234bde3cd05
H1236,fl:sc_ln:elwood-1,Scott H.,04cdc806-16c8-11ed-9b5f-1234bde3cd05
5368472,fl:ja_ln:hovis-1,James E.,fc6237b8-16c7-11ed-9b5f-1234bde3cd05
8726115,fl:my_ln:hunukumbure-1,Mythri,4e121823-16c8-11ed-9b5f-1234bde3cd05
7114173,fl:er_ln:urdang-1,Erik G.,df413f99-16c7-11ed-9b5f-1234bde3cd05
