location_id,disambig_country
005d7675-16c8-11ed-9b5f-1234bde3cd05,US
005d7ca3-16c8-11ed-9b5f-1234bde3cd05,US
005d80b0-16c8-11ed-9b5f-1234bde3cd05,US
005d853f-16c8-11ed-9b5f-1234bde3cd05,US
005d8be6-16c8-11ed-9b5f-1234bde3cd05,US
005d9110-16c8-11ed-9b5f-1234bde3cd05,US
005d9529-16c8-11ed-9b5f-1234bde3cd05,US
005d9935-16c8-11ed-9b5f-1234bde3cd05,US
005d9d38-16c8-11ed-9b5f-1234bde3cd05,US
005da197-16c8-11ed-9b5f-1234bde3cd05,US
005da5c8-16c8-11ed-9b5f-1234bde3cd05,US
005daa40-16c8-11ed-9b5f-1234bde3cd05,US
005dae55-16c8-11ed-9b5f-1234bde3cd05,US
005db352-16c8-11ed-9b5f-1234bde3cd05,US
005dc2a9-16c8-11ed-9b5f-1234bde3cd05,US
005dc71a-16c8-11ed-9b5f-1234bde3cd05,US
005dcb8f-16c8-11ed-9b5f-1234bde3cd05,US
005dd421-16c8-11ed-9b5f-1234bde3cd05,US
005de048-16c8-11ed-9b5f-1234bde3cd05,US
005ded3c-16c8-11ed-9b5f-1234bde3cd05,US
005df15a-16c8-11ed-9b5f-1234bde3cd05,US
005df590-16c8-11ed-9b5f-1234bde3cd05,US
005df9d3-16c8-11ed-9b5f-1234bde3cd05,US
005dfe32-16c8-11ed-9b5f-1234bde3cd05,US
005e0240-16c8-11ed-9b5f-1234bde3cd05,US
005e0708-16c8-11ed-9b5f-1234bde3cd05,US
005e0b00-16c8-11ed-9b5f-1234bde3cd05,US
005e100c-16c8-11ed-9b5f-1234bde3cd05,US
005e142a-16c8-11ed-9b5f-1234bde3cd05,US
005e1ac8-16c8-11ed-9b5f-1234bde3cd05,US
005e1f9a-16c8-11ed-9b5f-1234bde3cd05,US
005e2495-16c8-11ed-9b5f-1234bde3cd05,US
005e28cc-16c8-11ed-9b5f-1234bde3cd05,US
005e2d33-16c8-11ed-9b5f-1234bde3cd05,US
005e3b27-16c8-11ed-9b5f-1234bde3cd05,US
005e3f68-16c8-11ed-9b5f-1234bde3cd05,US
005e436c-16c8-11ed-9b5f-1234bde3cd05,US
005e4722-16c8-11ed-9b5f-1234bde3cd05,US
005e4b14-16c8-11ed-9b5f-1234bde3cd05,US
005e50f7-16c8-11ed-9b5f-1234bde3cd05,US
005e5524-16c8-11ed-9b5f-1234bde3cd05,US
005e5936-16c8-11ed-9b5f-1234bde3cd05,US
005e5d60-16c8-11ed-9b5f-1234bde3cd05,US
005e61bc-16c8-11ed-9b5f-1234bde3cd05,US
005e69f9-16c8-11ed-9b5f-1234bde3cd05,US
005e70b8-16c8-11ed-9b5f-1234bde3cd05,US
005e74e3-16c8-11ed-9b5f-1234bde3cd05,US
005e79e2-16c8-11ed-9b5f-1234bde3cd05,US
005e8afe-16c8-11ed-9b5f-1234bde3cd05,US
005e8f51-16c8-11ed-9b5f-1234bde3cd05,US
005e93b5-16c8-11ed-9b5f-1234bde3cd05,US
00602ba7-16c8-11ed-9b5f-1234bde3cd05,US
0060301c-16c8-11ed-9b5f-1234bde3cd05,US
0060345d-16c8-11ed-9b5f-1234bde3cd05,US
00604784-16c8-11ed-9b5f-1234bde3cd05,US
006091f5-16c8-11ed-9b5f-1234bde3cd05,US
00609ab5-16c8-11ed-9b5f-1234bde3cd05,US
00609f46-16c8-11ed-9b5f-1234bde3cd05,US
0060a363-16c8-11ed-9b5f-1234bde3cd05,US
0060a817-16c8-11ed-9b5f-1234bde3cd05,US
0060abef-16c8-11ed-9b5f-1234bde3cd05,US
0060afcf-16c8-11ed-9b5f-1234bde3cd05,US
0060b3ce-16c8-11ed-9b5f-1234bde3cd05,US
0060b7dc-16c8-11ed-9b5f-1234bde3cd05,US
0060bc07-16c8-11ed-9b5f-1234bde3cd05,US
0060c1f3-16c8-11ed-9b5f-1234bde3cd05,US
0060c61d-16c8-11ed-9b5f-1234bde3cd05,US
0060cc38-16c8-11ed-9b5f-1234bde3cd05,US
0060d09f-16c8-11ed-9b5f-1234bde3cd05,US
0060d50f-16c8-11ed-9b5f-1234bde3cd05,US
0060d94a-16c8-11ed-9b5f-1234bde3cd05,US
0060e698-16c8-11ed-9b5f-1234bde3cd05,US
0060eafe-16c8-11ed-9b5f-1234bde3cd05,US
0060f0dd-16c8-11ed-9b5f-1234bde3cd05,US
0060f4f7-16c8-11ed-9b5f-1234bde3cd05,US
0060f933-16c8-11ed-9b5f-1234bde3cd05,US
0060fd41-16c8-11ed-9b5f-1234bde3cd05,US
00610149-16c8-11ed-9b5f-1234bde3cd05,US
0061136c-16c8-11ed-9b5f-1234bde3cd05,US
00611f15-16c8-11ed-9b5f-1234bde3cd05,US
0061236c-16c8-11ed-9b5f-1234bde3cd05,US
006126fe-16c8-11ed-9b5f-1234bde3cd05,DE
00643f19-16c8-11ed-9b5f-1234bde3cd05,US
0064449d-16c8-11ed-9b5f-1234bde3cd05,US
00644b32-16c8-11ed-9b5f-1234bde3cd05,US
00645020-16c8-11ed-9b5f-1234bde3cd05,US
006453b2-16c8-11ed-9b5f-1234bde3cd05,GB
0065e94e-16c8-11ed-9b5f-1234bde3cd05,US
0065ed7a-16c8-11ed-9b5f-1234bde3cd05,US
0065f1d2-16c8-11ed-9b5f-1234bde3cd05,US
0065f604-16c8-11ed-9b5f-1234bde3cd05,US
0065fe31-16c8-11ed-9b5f-1234bde3cd05,US
00660207-16c8-11ed-9b5f-1234bde3cd05,US
00679040-16c8-11ed-9b5f-1234bde3cd05,US
0067944c-16c8-11ed-9b5f-1234bde3cd05,US
0067985e-16c8-11ed-9b5f-1234bde3cd05,US
00679c6b-16c8-11ed-9b5f-1234bde3cd05,US
0067a069-16c8-11ed-9b5f-1234bde3cd05,US
0067a3bd-16c8-11ed-9b5f-1234bde3cd05,FR
0067a794-16c8-11ed-9b5f-1234bde3cd05,US
0067ab98-16c8-11ed-9b5f-1234bde3cd05,US
0067afbb-16c8-11ed-9b5f-1234bde3cd05,US
0067b4cb-16c8-11ed-9b5f-1234bde3cd05,US
006acd9b-16c8-11ed-9b5f-1234bde3cd05,US
006ad2c9-16c8-11ed-9b5f-1234bde3cd05,US
006ad7f4-16c8-11ed-9b5f-1234bde3cd05,US
006ade05-16c8-11ed-9b5f-1234bde3cd05,US
0078bf51-16c8-11ed-9b5f-1234bde3cd05,US
0078c3b9-16c8-11ed-9b5f-1234bde3cd05,US
0078c7f1-16c8-11ed-9b5f-1234bde3cd05,US
0078cc44-16c8-11ed-9b5f-1234bde3cd05,US
0078d511-16c8-11ed-9b5f-1234bde3cd05,US
0078da73-16c8-11ed-9b5f-1234bde3cd05,US
0078de6b-16c8-11ed-9b5f-1234bde3cd05,US
0078e3ab-16c8-11ed-9b5f-1234bde3cd05,US
0078e7a6-16c8-11ed-9b5f-1234bde3cd05,US
0078eb99-16c8-11ed-9b5f-1234bde3cd05,US
0078efe8-16c8-11ed-9b5f-1234bde3cd05,US
0078f3ef-16c8-11ed-9b5f-1234bde3cd05,US
0078f809-16c8-11ed-9b5f-1234bde3cd05,US
0078fdf4-16c8-11ed-9b5f-1234bde3cd05,US
00823ec1-16c8-11ed-9b5f-1234bde3cd05,US
0082434b-16c8-11ed-9b5f-1234bde3cd05,US
00824986-16c8-11ed-9b5f-1234bde3cd05,US
00824da4-16c8-11ed-9b5f-1234bde3cd05,US
0082621d-16c8-11ed-9b5f-1234bde3cd05,US
008265e3-16c8-11ed-9b5f-1234bde3cd05,IT
00826ec6-16c8-11ed-9b5f-1234bde3cd05,US
00827316-16c8-11ed-9b5f-1234bde3cd05,US
00827751-16c8-11ed-9b5f-1234bde3cd05,US
00827bc3-16c8-11ed-9b5f-1234bde3cd05,US
00827ff6-16c8-11ed-9b5f-1234bde3cd05,US
00828440-16c8-11ed-9b5f-1234bde3cd05,US
0082888a-16c8-11ed-9b5f-1234bde3cd05,US
00af2eb8-16c8-11ed-9b5f-1234bde3cd05,US
00af34df-16c8-11ed-9b5f-1234bde3cd05,US
00af3951-16c8-11ed-9b5f-1234bde3cd05,US
00af3dcc-16c8-11ed-9b5f-1234bde3cd05,US
00af422d-16c8-11ed-9b5f-1234bde3cd05,US
00af4692-16c8-11ed-9b5f-1234bde3cd05,US
00af4ad9-16c8-11ed-9b5f-1234bde3cd05,US
00af4f44-16c8-11ed-9b5f-1234bde3cd05,US
00af5372-16c8-11ed-9b5f-1234bde3cd05,US
00af5810-16c8-11ed-9b5f-1234bde3cd05,US
00af5c8d-16c8-11ed-9b5f-1234bde3cd05,US
00af6c61-16c8-11ed-9b5f-1234bde3cd05,US
00af7aab-16c8-11ed-9b5f-1234bde3cd05,US
00af88d4-16c8-11ed-9b5f-1234bde3cd05,US
00af927e-16c8-11ed-9b5f-1234bde3cd05,US
00af975a-16c8-11ed-9b5f-1234bde3cd05,US
00af9cc2-16c8-11ed-9b5f-1234bde3cd05,US
00afa13a-16c8-11ed-9b5f-1234bde3cd05,US
00afa5ac-16c8-11ed-9b5f-1234bde3cd05,US
00afa9d0-16c8-11ed-9b5f-1234bde3cd05,US
00afae57-16c8-11ed-9b5f-1234bde3cd05,US
00afb28b-16c8-11ed-9b5f-1234bde3cd05,US
00afb7a2-16c8-11ed-9b5f-1234bde3cd05,US
00b1463c-16c8-11ed-9b5f-1234bde3cd05,US
00b14f94-16c8-11ed-9b5f-1234bde3cd05,US
00b154f8-16c8-11ed-9b5f-1234bde3cd05,US
00b15a35-16c8-11ed-9b5f-1234bde3cd05,US
00b15e30-16c8-11ed-9b5f-1234bde3cd05,US
00b1622e-16c8-11ed-9b5f-1234bde3cd05,US
00b16632-16c8-11ed-9b5f-1234bde3cd05,US
00b169dd-16c8-11ed-9b5f-1234bde3cd05,US
00b16dd0-16c8-11ed-9b5f-1234bde3cd05,US
00b171e5-16c8-11ed-9b5f-1234bde3cd05,US
00b175dc-16c8-11ed-9b5f-1234bde3cd05,US
00b179c2-16c8-11ed-9b5f-1234bde3cd05,US
00b308ad-16c8-11ed-9b5f-1234bde3cd05,US
00b30ce2-16c8-11ed-9b5f-1234bde3cd05,US
00b319c9-16c8-11ed-9b5f-1234bde3cd05,US
00b32346-16c8-11ed-9b5f-1234bde3cd05,US
00cd53db-16c8-11ed-9b5f-1234bde3cd05,US
00d06ed3-16c8-11ed-9b5f-1234bde3cd05,US
00d074a8-16c8-11ed-9b5f-1234bde3cd05,US
00d07932-16c8-11ed-9b5f-1234bde3cd05,US
00d07db2-16c8-11ed-9b5f-1234bde3cd05,US
00d081e4-16c8-11ed-9b5f-1234bde3cd05,US
00d085b6-16c8-11ed-9b5f-1234bde3cd05,US
00d089b1-16c8-11ed-9b5f-1234bde3cd05,US
01392a1b-16c8-11ed-9b5f-1234bde3cd05,US
01393023-16c8-11ed-9b5f-1234bde3cd05,US
013934b6-16c8-11ed-9b5f-1234bde3cd05,US
0139474a-16c8-11ed-9b5f-1234bde3cd05,US
01395830-16c8-11ed-9b5f-1234bde3cd05,US
01396498-16c8-11ed-9b5f-1234bde3cd05,US
0139691b-16c8-11ed-9b5f-1234bde3cd05,US
01396f7f-16c8-11ed-9b5f-1234bde3cd05,US
01539cb0-16c8-11ed-9b5f-1234bde3cd05,US
0153a1bd-16c8-11ed-9b5f-1234bde3cd05,US
0153a61f-16c8-11ed-9b5f-1234bde3cd05,US
0153aa57-16c8-11ed-9b5f-1234bde3cd05,US
0153b045-16c8-11ed-9b5f-1234bde3cd05,US
0153caf2-16c8-11ed-9b5f-1234bde3cd05,US
0153df8f-16c8-11ed-9b5f-1234bde3cd05,US
0153e5cf-16c8-11ed-9b5f-1234bde3cd05,US
0153f621-16c8-11ed-9b5f-1234bde3cd05,US
0154037b-16c8-11ed-9b5f-1234bde3cd05,US
015407e2-16c8-11ed-9b5f-1234bde3cd05,US
01540bc3-16c8-11ed-9b5f-1234bde3cd05,US
01541010-16c8-11ed-9b5f-1234bde3cd05,US
0154147c-16c8-11ed-9b5f-1234bde3cd05,US
01541911-16c8-11ed-9b5f-1234bde3cd05,US
015a4515-16c8-11ed-9b5f-1234bde3cd05,US
015a4af5-16c8-11ed-9b5f-1234bde3cd05,US
015a4f28-16c8-11ed-9b5f-1234bde3cd05,US
015a5347-16c8-11ed-9b5f-1234bde3cd05,US
015a574e-16c8-11ed-9b5f-1234bde3cd05,US
015a5b87-16c8-11ed-9b5f-1234bde3cd05,US
015a5fc8-16c8-11ed-9b5f-1234bde3cd05,US
015a64de-16c8-11ed-9b5f-1234bde3cd05,US
015a6970-16c8-11ed-9b5f-1234bde3cd05,US
015a7055-16c8-11ed-9b5f-1234bde3cd05,US
015a73e4-16c8-11ed-9b5f-1234bde3cd05,CZ
015a7739-16c8-11ed-9b5f-1234bde3cd05,CZ
015a7a2d-16c8-11ed-9b5f-1234bde3cd05,CZ
