patent_id,filing_date
4224415,1958-07-18
4197591,1958-08-04
4117484,1958-07-31
4006478,1958-08-15
6650270,1958-08-15
4328496,1958-08-27
5679921,1958-08-27
4179657,1958-08-28
4184210,1958-09-04
3998162,1958-09-16
4194150,1958-09-26
4044555,1958-09-30
4202269,1958-10-15
4009661,1958-10-24
4232314,1958-10-28
4125698,1958-10-29
4009523,1958-12-15
4358857,1958-05-09
3970719,1958-01-16
4904863,1958-11-25
4964448,1958-09-14
3947301,1959-01-05
4206508,1959-01-08
3984774,1959-01-14
4195295,1959-01-14
4056061,1959-01-20
4036144,1959-01-29
6118732,1959-02-12
5202678,1959-02-13
4040357,1959-03-04
4204281,1959-03-24
4198704,1959-03-27
4086560,1959-04-03
4108075,1959-04-09
4186768,1959-04-10
4118702,1959-04-22
4119920,1959-04-29
3938147,1959-05-19
3939476,1959-05-19
4218977,1959-05-19
5202644,1959-06-11
3960621,1959-06-12
4262359,1959-07-16
4733242,1959-07-20
3982713,1959-07-22
4255800,1959-08-11
4198706,1959-08-21
4044683,1959-08-20
4188906,1959-08-25
4194202,1959-09-16
4980688,1959-09-30
4721961,1959-11-03
3967989,1959-11-03
4203163,1959-11-25
4185578,1959-11-30
4215645,1959-12-10
4023172,1959-12-17
4196433,1959-12-23
4274333,1959-12-28
4254727,1959-12-30
4157546,1959-01-07
4176357,1960-01-25
3970940,1960-01-28
4007805,1960-01-29
4005383,1960-02-12
4034143,1960-02-24
4185326,1960-02-25
4223196,1960-02-29
4048178,1960-03-10
4326292,1960-03-18
4363130,1960-03-18
4324002,1960-03-18
4030032,1960-04-05
4187556,1960-04-05
4017799,1960-04-12
4127443,1960-05-04
4259577,1960-05-04
4975890,1960-05-10
4198703,1960-05-12
4975886,1960-05-24
4084511,1960-06-07
4484195,1960-06-10
4322730,1960-06-15
3969154,1960-06-22
4216534,1960-06-28
4173186,1960-07-07
4210083,1960-07-06
4185554,1960-07-28
4137286,1960-08-12
4482405,1960-08-18
4185538,1960-08-30
4219889,1960-09-16
3955757,1960-09-28
4128836,1960-10-14
4001191,1960-10-18
4023174,1960-10-19
4682954,1960-10-24
3976011,1960-10-31
6313782,1960-11-16
4255799,1960-12-07
4239012,1960-12-15
4088998,1960-12-22
4022128,1960-12-23
3953585,1960-12-27
4203160,1960-12-30
4208024,1961-01-11
4200922,1961-01-30
4012738,1961-01-31
4206462,1961-02-08
3934253,1961-02-10
4071488,1961-02-16
3982246,1961-02-20
4015120,1961-02-21
4247942,1961-03-01
4002122,1961-03-02
4203164,1961-03-06
4207625,1961-03-06
4323025,1961-03-07
4001058,1961-03-10
4006930,1961-03-15
3997899,1961-03-20
3945005,1961-03-31
4012244,1961-03-31
3955200,1961-04-06
3955753,1961-04-13
4071826,1961-04-27
4214313,1961-04-27
4071705,1961-05-03
3932242,1961-05-08
4149166,1961-05-09
4001380,1961-05-16
4356488,1961-05-19
4119039,1961-05-29
4156055,1961-06-01
4156056,1961-06-01
4156057,1961-06-01
4117486,1961-06-05
3950749,1961-06-12
4158832,1961-06-19
4168395,1961-05-19
3936749,1961-06-23
4070550,1961-06-28
3981012,1961-06-29
4079687,1961-08-01
4203108,1961-08-18
3982114,1961-08-28
3956890,1961-09-07
4195574,1961-09-01
4161610,1961-09-29
4208544,1961-10-04
3947523,1961-10-02
3965676,1961-10-02
4152392,1961-10-11
4183008,1961-10-11
4006356,1961-10-27
4083306,1961-10-27
3958241,1961-11-02
3954701,1961-11-01
4172963,1961-11-20
4282589,1961-11-16
4103236,1961-09-18
4225316,1961-11-28
4172968,1961-12-08
3956728,1961-12-15
4409879,1961-12-27
3970626,1961-08-14
4044359,1962-01-09
4044315,1962-01-16
4077147,1962-01-26
4185560,1962-01-31
4183088,1962-01-31
6707871,1962-02-05
4232187,1962-02-05
4219891,1962-02-05
3998163,1962-02-06
4394628,1962-02-02
4245346,1962-02-07
3971681,1962-01-24
4370576,1962-02-21
4142696,1962-02-27
4114156,1962-02-28
4193072,1962-03-13
4180205,1962-03-09
4002498,1962-03-22
4320449,1962-03-22
3974984,1962-03-23
4030098,1962-03-26
4421005,1962-03-28
4381474,1962-03-30
4183023,1962-04-20
4163423,1962-04-18
3943515,1962-04-24
4320298,1962-04-27
3954949,1962-05-03
4082838,1962-05-10
4187129,1962-05-14
4404426,1962-05-23
3986122,1962-05-22
3947846,1962-05-29
4187392,1962-06-08
4332977,1962-06-12
3952300,1962-06-08
3995559,1962-06-21
3996520,1962-03-30
4189786,1962-06-29
4079253,1962-06-27
4279036,1962-07-02
3951706,1962-07-03
4350297,1962-07-05
4148036,1962-07-06
4193567,1962-07-17
4227479,1962-08-07
3947848,1962-08-07
5597245,1962-08-13
3993632,1962-08-17
3969486,1962-08-15
3952627,1962-08-27
4313181,1962-08-29
4418169,1962-09-04
4085112,1962-09-11
4213163,1962-08-27
4185888,1962-09-21
4217550,1962-09-28
4545061,1962-09-28
4001057,1962-09-24
5448643,1962-09-28
4102521,1962-10-12
4562699,1962-10-22
4190000,1962-10-23
4122671,1962-10-26
3968139,1962-10-30
4012465,1962-11-13
3939461,1962-11-19
3983780,1962-11-14
4204280,1962-11-21
3945008,1962-11-27
4161034,1962-12-07
3981587,1962-12-17
4000179,1962-12-18
4208733,1962-12-20
5253216,1962-12-28
4970958,1962-12-31
4071326,1962-11-30
5247894,1962-02-28
5493612,1962-03-27
3943516,1962-11-20
5152171,1962-10-01
4410783,1962-02-16
4886297,1962-08-30
5093666,1963-01-02
4194167,1963-01-10
4968980,1963-02-01
6707052,1963-02-07
3962705,1963-02-01
4000682,1963-01-16
3987445,1963-02-11
4090171,1963-02-18
3935434,1963-03-04
4193029,1963-03-04
4203110,1963-03-12
4185553,1963-03-22
4991144,1963-03-29
4016199,1963-04-02
4214239,1963-04-02
4471358,1963-04-01
3949955,1963-04-04
3947804,1963-04-11
4246751,1963-04-12
4207819,1963-04-12
4074650,1963-04-12
3968158,1963-04-12
4183303,1963-02-25
3975501,1963-04-26
3969487,1963-04-26
3997662,1963-05-16
4001059,1963-05-24
3938152,1963-06-03
4365086,1963-06-06
3961024,1963-06-18
3952307,1963-06-18
4045356,1963-06-24
4274354,1963-06-28
4041343,1963-07-12
4083017,1963-07-12
4185559,1963-07-12
3946942,1963-07-12
5289188,1963-07-10
4924228,1963-07-17
3958214,1963-07-19
4214208,1963-08-07
4167009,1963-08-08
3988883,1963-08-14
